elevation,avg_traffic_speed,pollution_level,population_density,road_quality_index,proximity_main_roads,weather_condition_index,type_of_terrain_Commercial Area,type_of_terrain_Park,type_of_terrain_Residential Area,type_of_terrain_Road,zone_classification_Commercial,zone_classification_Industrial,zone_classification_Residential,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,estimated_traversal_cost
37.454011884736246,10.31238688359326,212.1715902940196,3791.3159796451127,2.726805922468686,261.70568373590595,4.065437499231625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,174.83381572697954
95.07143064099162,90.25529066795669,45.7617128742784,122.93458229400755,3.910344059039687,246.97879907199984,1.6454069996288592,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1723.086848681024
73.1993941811405,50.525237244785714,172.88650805004394,110.61775764498628,3.039907620042892,906.2545805210368,4.686660054057088,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,827.5337700105608
59.86584841970366,82.64574661077417,182.0145139148568,1618.0510957477063,4.194966752487436,249.5461998495061,3.800957455570542,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1062.5452781903057
15.601864044243651,32.00496010306117,127.2392013907158,2443.215952023329,1.6248145847148403,271.94972612863097,7.094085757615084,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,197.7133082126743
15.599452033620263,89.55232284962005,220.93327068741684,3852.037089038966,5.671538118174434,759.3982624179637,6.452013245074213,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,428.3314883711619
5.8083612168199465,38.92016787341631,280.3101044307044,3416.476883032526,1.608513072329934,449.73984245054,4.28134355377786,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,176.4209658344376
86.61761457749351,1.083765148029836,277.6705538720329,2229.513531883741,8.203208570401255,776.7105569551812,2.961032988294911,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,108.76843729688187
60.11150117432088,90.53819764192636,135.25181142123964,1368.1333314083297,3.103408737193897,65.36615756438525,9.892323695400329,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1226.5589498233671
70.80725777960456,9.128667678613356,33.971413752226574,4985.622500788556,5.860107231440596,487.5711936733843,5.086014590765034,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,155.91431553700107
2.0584494295802447,31.93136375904149,295.4523596887004,2130.9065111798645,8.920711788053124,33.613600183282635,7.194468122022133,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,231.67292955640255
96.99098521619943,95.0061967050805,251.66942593378025,2256.9351216483774,6.857896321424748,62.65320345535452,2.264976708205247,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1902.3132125607344
83.24426408004217,95.0607146937556,37.39880436098005,818.1191059583459,5.796620078962018,906.437453344411,5.37030729693458,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1605.8004735185382
21.233911067827616,57.34378881232861,276.2525647852117,3974.047743749647,3.919003778038381,139.24537111759517,1.2478304788251893,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,284.5519507604621
18.182496720710063,63.183721216979926,260.96890861863847,3468.411128907443,3.997017217523781,532.4206822752171,5.549096061194049,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,381.5941294722221
18.34045098534338,44.84455219783198,155.65141713782162,1103.848063943802,7.025382596783711,411.09560260070657,9.67615666405932,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,320.4821336924626
30.42422429595377,29.32107716980645,177.38263072347877,411.9052280792135,9.947254250990508,347.3433262588427,4.457860416872202,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,259.7093296017585
52.475643163223786,32.8664545369916,119.70081116103908,3402.4965103735653,6.956552708644408,899.8333456872724,1.3509641131742045,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,367.43773835672846
